STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement_Flag,Quality_Flag,Source_Flag,Time_Observation,TMIN,Measurement_Flag2,Quality_Flag2,Source_Flag2,Time_Observation2
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040830,117,9999,9999,T,9999,11,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040831,100,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040901,122,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040902,111,9999,9999,T,9999,11,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040903,78,9999,9999,T,9999,0,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040904,17,9999,9999,T,9999,-44,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040905,67,9999,9999,T,9999,-50,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040906,94,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040907,89,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040908,106,9999,9999,T,9999,0,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040909,111,9999,9999,T,9999,6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040910,72,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040911,111,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040912,94,9999,9999,T,9999,17,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040913,94,9999,9999,T,9999,33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040914,94,9999,9999,T,9999,6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040915,94,9999,9999,T,9999,-17,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040916,100,9999,9999,T,9999,0,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040917,106,9999,9999,T,9999,0,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040918,78,9999,9999,T,9999,6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040919,28,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040920,28,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040921,0,9999,9999,T,9999,-89,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040922,-994,9999,X,T,9999,-994,9999,X,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040923,56,9999,9999,T,9999,-61,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040924,61,9999,9999,T,9999,-39,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040925,56,9999,9999,T,9999,-39,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040926,61,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040927,83,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040928,61,9999,9999,T,9999,-17,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040929,22,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040930,28,9999,9999,T,9999,-61,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041001,39,9999,9999,T,9999,-61,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041002,39,9999,9999,T,9999,-39,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041003,50,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041004,50,9999,9999,T,9999,-39,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041005,28,9999,9999,T,9999,-44,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041006,22,9999,9999,T,9999,-44,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041007,50,9999,9999,T,9999,-39,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041008,72,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041009,67,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041010,61,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041011,33,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041012,56,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041013,11,9999,9999,T,9999,-56,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041014,56,9999,9999,T,9999,-50,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041015,67,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20041016,67,9999,9999,T,9999,-11,9999,9999,T,9999
